"Date","User ID","Alias","Allocation","MTM","MTM %","Algo","Server","DTE","Index"
"2026-06-11","7RA1GT70","MSR_GIRNAAR2_POS","16000000","153809.6","0.96%","15","VS2","0DTE","SX"
"2026-06-11","7RA1GTL","MSR_GINNI3_INT","6000000","103382","1.72%","1","VS10","0DTE","SX"
"2026-06-11","7RA1IL10","MSR_INDALPHA1_INT","26000000","172165","0.66%","7","VS9","0DTE","SX"
"2026-06-11","7RA1KH71","MSR_KAILASHR_POS","12000000","123873.2","1.03%","7","VS9","0DTE","SX"
"2026-06-11","7RA1KP76","MSR_GINNI13_3C","30000000","183183.8","0.61%","8","VS1","0DTE","SX"
"2026-06-11","7RA1LL11","MSR_LOYALKA3_POS","6000000","127771.4","2.13%","1","VS10","0DTE","SX"
"2026-06-11","7RA1MH88","MSR_MSMELODIA1_INT","8000000","67513","0.84%","7","VS9","0DTE","SX"
"2026-06-11","7RA1PG011","MSP_PGFOILS_7C","70000000","438933.8","0.63%","8","VS1","0DTE","SX"
"2026-06-11","7RA1RM61","MSR_RAJM9_INT","152000000","1264823","0.83%","1","VS10","0DTE","SX"
"2026-06-11","7RA1SP74","MSR_GINNI12","20000000","111336.2","0.56%","8","VS1","0DTE","SX"
"2026-06-11","7RBE0217","MSP_AMITP11_INT","26000000","259121","1.00%","1","VS10","0DTE","SX"
"2026-06-11","7RDB0102","MSP_AMITP10_INT","26000000","186097.01","0.72%","7","VS9","0DTE","SX"
"2026-06-11","7RIK2005","MSR_RAJM7_INT","16000000","79598","0.50%","15","VS2","0DTE","SX"
"2026-06-11","7RIK2014","MSR_KABRA2","20000000","113388.2","0.57%","8","VS1","0DTE","SX"
"2026-06-11","7RIK2015","MSR_MAHAJANI1_POS","18000000","189063.8","1.05%","7","VS9","0DTE","SX"
"2026-06-11","7RIK2017","MSR_SONI_KISHOREH_POS","16000000","162246.2","1.01%","7","VS9","0DTE","SX"
"2026-06-11","7RIK2021","MSR_INDALPHA2","20000000","127037.6","0.64%","8","VS1","0DTE","SX"
"2026-06-11","7RIK2022","MSR_PTAK1_FIX_5CR_INT","50000000","252652","0.51%","7","VS9","0DTE","SX"
"2026-06-11","7RIK2024","MSR_PTAK2_INT","38000000","338934","0.89%","1","VS10","0DTE","SX"
"2026-06-11","7RIK2025","MSR_PTAK3","20000000","-56335.85","-0.28%","19","VS22","5DTE_1DTE","NF_SX"
"2026-06-11","7RIK2026","MSN_SANDEEPS2_POS","10000000","116179","1.16%","1","VS10","0DTE","SX"
"2026-06-11","7RIK2029","MSR_HETANSHI_POS","16000000","240869.2","1.51%","1","VS10","0DTE","SX"
"2026-06-11","7RIK2031","MSR_CHETAN_SINGHAL2","20000000","123434","0.62%","8","VS1","0DTE","SX"
"2026-06-11","7RIK2032","MSR_RADHA_INT","4000000","49468","1.24%","1","VS10","0DTE","SX"
"2026-06-11","7RIK2034","MSR__JITENDRA_AGRAWAL2_INT","10000000","69338","0.69%","7","VS9","0DTE","SX"
"2026-06-11","7RIK2036","MSR_BANSAL3_INT","10000000","74304","0.74%","1","VS10","0DTE","SX"
"2026-06-11","7RIK2037","MSR_JITENDRA_AGRAWAL3_INT","10000000","84180","0.84%","1","VS10","0DTE","SX"
"2026-06-11","7RIK2042","MSS_RENU1_POS","10000000","100527","1.01%","7","VS9","0DTE","SX"
"2026-06-11","7RIK2053","MSR_VIKASAGGARWAL2_INT","8000000","68889","0.86%","7","VS9","0DTE","SX"
"2026-06-11","7RIK2054","MSR_ASR4_INT","12000000","119780","1.00%","1","VS10","0DTE","SX"
"2026-06-11","7RIK2055","MSR_PYADAV1","20000000","119810.4","0.60%","8","VS1","0DTE","SX"
"2026-06-11","7RIK2057","MSR_PYADAV2_INT","10000000","53115","0.53%","7","VS9","0DTE","SX"
"2026-06-11","7RIKAB01","MSR_BHATNAGAR1_POS","6000000","97215.4","1.62%","1","VS10","0DTE","SX"
"2026-06-11","7RIKAH01","MSN_DALMIA2_POS","8000000","126006.4","1.58%","1","VS10","0DTE","SX"
"2026-06-11","7RIKBB01","MSR_BHATNAGAR2_POS","6000000","135669.4","2.26%","1","VS10","0DTE","SX"
"2026-06-11","7RIKBC01","MSR_BAGRODIA3_INT","12000000","124788","1.04%","7","VS9","0DTE","SX"
"2026-06-11","7RIKBL02","MSR_BONSAI3_INT","20000000","142288","0.71%","7","VS9","0DTE","SX"
"2026-06-11","7RIKEL01","MSR_RYADAV5","20000000","-44720.6","-0.22%","19","VS22","5DTE_1DTE","NF_SX"
"2026-06-11","7RIKML02","MSR_DIGVIJAY5","20000000","112019.6","0.56%","8","VS1","0DTE","SX"
"2026-06-11","7RIKPL01","MSR_JITENDRA_AGRAWAL5","20000000","107331.8","0.54%","8","VS1","0DTE","SX"
"2026-06-11","7RIKRH01","MSR_RDANGAYACH6","20000000","-43681.4","-0.22%","19","VS22","5DTE_1DTE","NF_SX"
"2026-06-11","7RMAPK80","MSP_PRAVEENKUMAR_POS","6000000","121569.6","2.03%","1","VS10","0DTE","SX"
"2026-06-11","82930874","CC_MRINALDEBNATH_INT","4000000","49661","1.24%","1","VS15","0DTE","SX"
"2026-06-11","85533200","CC__JOHNJOSEPH_FULL_POS1CR","40000000","407076","1.02%","7","VS11","0DTE","SX"
"2026-06-11","87316853","CC_JAYACHAN_INT","6000000","72108","1.20%","7","VS11","0DTE","SX"
"2026-06-11","89769315","CC_NISHADS_INT","4000000","56543","1.41%","1","VS15","0DTE","SX"
"2026-06-11","90757742","MSR_ABBASSIR_POS","10000000","94926","0.95%","1","VS18","0DTE","SX"
"2026-06-11","91582593","CC_APOORVAP_POS","4000000","70158","1.75%","1","VS14","0DTE","SX"
"2026-06-11","92176368","CCV_VIVEK_THEBARIA_FIX_1CR_INT","10000000","56835","0.57%","1","VS12","0DTE","SX"
"2026-06-11","92348046","CCV_ANKITADOK_POS","10000000","126131","1.26%","7","VS11","0DTE","SX"
"2026-06-11","92609325","CC_SEEMAB_POS","8000000","98083","1.23%","1","VS15","0DTE","SX"
"2026-06-11","95221347","CCV_BHARATINIL_POS","10000000","97017","0.97%","1","VS12","0DTE","SX"
"2026-06-11","95366550","MSR_BHARNI2_INT","8000000","72491","0.91%","1","VS16","0DTE","SX"
"2026-06-11","97255501","CC_BINAYD","20000000","-122588","-0.61%","19","VS25","5DTE_1DTE","NF_SX"
"2026-06-11","99972022","MSG_CHANDRAKALA_POS","6000000","108787","1.81%","1","VS15","0DTE","SX"
"2026-06-11","9PS30CC","MTPRO_PROP_INT","10000000","76291","0.76%","1","VS13","0DTE","SX"
"2026-06-11","AASTHA89","MSR_AASTHAAG_INT","14000000","65671","0.47%","15","VS19","0DTE","SX"
"2026-06-11","ABHIMA01","MSP_MALPANI_INT","6000000","87609","1.46%","1","VS14","0DTE","SX"
"2026-06-11","ADHISH03","MSR_BALDEEP1_INT","6000000","82299","1.37%","1","VS18","0DTE","SX"
"2026-06-11","ADINAATH","MSP_AMITP2_INT","10000000","70257","0.70%","1","VS16","0DTE","SX"
"2026-06-11","ADISHA26","MSR_MSMELODIA9_INT","14000000","91857","0.66%","1","VS14","0DTE","SX"
"2026-06-11","ADITI758","MSR_MSMELODIA3","20000000","-212235.7","-1.06%","19","VS22","5DTE_1DTE","NF_SX"
"2026-06-11","AJ008AI","A1_RM_NEW_INT","160000000","1197755","0.75%","1","VS16","0DTE","SX"
"2026-06-11","AJ008DI","A7_RM_NEW_INT","100000000","959800","0.96%","7","VS4","0DTE","SX"
"2026-06-11","AJ008DW","A8_RM_ACH_6C","60000000","-107369","-0.18%","8","VS5","0DTE","SX"
"2026-06-11","AJ008EX","A19_RM_NEW","100000000","-1278362.1","-1.28%","19","VS25","5DTE_1DTE","NF_SX"
"2026-06-11","AJ008HY","A15_RM_INT","100000000","848352","0.85%","15","VS2","0DTE","SX"
"2026-06-11","AJ008JO","A8_RM_ACHINTYA_NEW_4C","40000000","-80762","-0.20%","8","VS5","0DTE","SX"
"2026-06-11","AJ008JP","A19_RM_ACHINTYA_NEW","40000000","-502549.7","-1.26%","19","VS25","5DTE_1DTE","NF_SX"
"2026-06-11","AJ008JS","A7_RM_ACHINTYA_NEW","20000000","159976","0.80%","7","VS26","0DTE","SX"
"2026-06-11","AJ008JT","15_RM_ACHINTYA_NEW","30000000","258229","0.86%","15","VS2","0DTE","SX"
"2026-06-11","AJ008KC","A1_RM_ACHINTYA_NEW_INT","20000000","142466","0.71%","1","VS13","0DTE","SX"
"2026-06-11","AJIT0112","MSR_AJIT3_5C","50000000","45857","0.09%","8","VS1","0DTE","SX"
"2026-06-11","AKAMLA02","MSR_MEHTA3_POS","6000000","81000","1.35%","1","VS6","0DTE","SX"
"2026-06-11","AKBHUF01","MSR_VEDANGI1_POS","6000000","86763","1.45%","1","VS6","0DTE","SX"
"2026-06-11","AKSHAT59","MSP_AKSHATP_POS","6000000","90553","1.51%","1","VS12","0DTE","SX"
"2026-06-11","ALGO25","CCV_A7_VTCAP_FIX_5CR_INT","50000000","461678","0.92%","7","VS4","0DTE","SX"
"2026-06-11","ALKAAGA0","MSN_ALKA_AGARWAL_POS","12000000","160021","1.33%","7","VS4","0DTE","SX"
"2026-06-11","ALOYALKA","MSN_ALOYALKA2_INT","18000000","139734","0.78%","1","VS13","0DTE","SX"
"2026-06-11","AM005","ALGO1_RM_PRSNL_INT","50000000","415391","0.83%","1","VS12","0DTE","SX"
"2026-06-11","AM006","A15_RM_PRSNL_INT","50000000","395375","0.79%","15","VS19","0DTE","SX"
"2026-06-11","AM008","A7_RM_PRSNL_INT","50000000","316070","0.63%","7","VS9","0DTE","SX"
"2026-06-11","AMIIIT02","MSR_PAREEKK2","20000000","-22946","-0.11%","8","VS1","0DTE","SX"
"2026-06-11","AMIT1444","MSP_AMITP5_3C","30000000","88672","0.30%","8","VS1","0DTE","SX"
"2026-06-11","AMIT3732","MSP_AMITAG_POS","10000000","96558","0.97%","1","VS13","0DTE","SX"
"2026-06-11","AMITHUFB","MSV_AMITBANSAL_POS","12000000","79698","0.66%","1","VS12","0DTE","SX"
"2026-06-11","AMRI2610","MSR_MSMELODIA6_INT","26000000","234436","0.90%","7","VS7","0DTE","SX"
"2026-06-11","ANANTINV","MSP_AMITP10_INT","10000000","88561","0.89%","1","VS3","0DTE","SX"
"2026-06-11","ANISHA48","MSP_SUSHANTG1_POS","12000000","146140","1.22%","7","VS7","0DTE","SX"
"2026-06-11","ANITAKA9","MSN_ANITA_INT","12000000","155590","1.30%","7","VS11","0DTE","SX"
"2026-06-11","ANKITKH9","MSP_ANKITAMIT_POS","6000000","87183","1.45%","1","VS18","0DTE","SX"
"2026-06-11","ANNUPRNA","MSP_ANNAPURNA_POS","8000000","85290","1.07%","1","VS16","0DTE","SX"
"2026-06-11","APAREEK1","MSR_PAREEK_INT","12000000","118796","0.99%","7","VS4","0DTE","SX"
"2026-06-11","APCTEX10","MSR_GINNI7","20000000","-212516.3","-1.06%","19","VS22","5DTE_1DTE","NF_SX"
"2026-06-11","APOORV77","MSR_APOORVG_POS","10000000","99399","0.99%","1","VS8","0DTE","SX"
"2026-06-11","ARCHAA30","MSP_ARCHANA_POS","6000000","97197","1.62%","1","VS13","0DTE","SX"
"2026-06-11","ASHO1956","MSR_ASHOK_INT","6000000","86643","1.44%","1","VS8","0DTE","SX"
"2026-06-11","ASM19850","MSR_AJATSAT_POS","6000000","85277","1.42%","1","VS6","0DTE","SX"
"2026-06-11","ASRENTER","MSR_ASR1_5C","50000000","-48098","-0.10%","8","VS5","0DTE","SX"
"2026-06-11","AVS00RKL","CC_RAJESHK_POS","12000000","107826","0.90%","1","VS13","0DTE","SX"
"2026-06-11","AVS03LKW","CC_LAXMIK_POS","12000000","157349","1.31%","7","VS4","0DTE","SX"
"2026-06-11","AVSRKHUF","CC_RKHILWANI","20000000","-198994.2","-0.99%","19","VS22","5DTE_1DTE","NF_SX"
"2026-06-11","B128","PACE_SX_INT","20000000","137382","0.69%","1","VS16","0DTE","SX"
"2026-06-11","B135","A15_PACE_BSE_INT","20000000","167653","0.84%","15","VS2","0DTE","SX"
"2026-06-11","B136","A7_PACE_BSE_INT","20000000","129328","0.65%","7","VS9","0DTE","SX"
"2026-06-11","B7RA1AE07","MSR_ASR2_INT","58000000","327397","0.56%","7","VS9","0DTE","SX"
"2026-06-11","B7RA1KH60","MSR_GINNI9_INT","12000000","124909","1.04%","7","VS9","0DTE","SX"
"2026-06-11","B7RA1NH61","MSR_GINNI5_INT","10000000","93610","0.94%","1","VS10","0DTE","SX"
"2026-06-11","B7RA1RL35","MSR_RYS2_3C","30000000","167216","0.56%","8","VS1","0DTE","SX"
"2026-06-11","B7RA1RS76","MSR_RITESHS1_POS","14000000","148100.4","1.06%","7","VS9","0DTE","SX"
"2026-06-11","BAID1975","MSR_NAVEENB_POS","20000000","199299","1.00%","1","VS3","0DTE","SX"
"2026-06-11","BALDEEP1","MSR_BALDEEP_3C","30000000","146932","0.49%","8","VS24","0DTE","SX"
"2026-06-11","BASANTGO","MSR_BASANT_INT","12000000","69485","0.58%","1","VS12","0DTE","SX"
"2026-06-11","BENU1954","MSR_HEMPRA1_POS","6000000","94638","1.58%","1","VS13","0DTE","SX"
"2026-06-11","BHADADAG","CC_GAYATRIB_FIX_1CR_0SL_POS","10000000","101260","1.01%","7","VS4","0DTE","SX"
"2026-06-11","BHADADAR","CC_BHADADAR_FIX_1CR_0_SL_POS","10000000","99069","0.99%","15","VS19","0DTE","SX"
"2026-06-11","BHARA212","MSR_BHARNI1","20000000","-77825","-0.39%","8","VS5","0DTE","SX"
"2026-06-11","BKISHAN0","MSR_BALDEEP2_INT","14000000","122562","0.88%","7","VS4","0DTE","SX"
"2026-06-11","DANGA982","MSR_RDANGAYACH2_8C","80000000","-243162","-0.30%","8","VS5","0DTE","SX"
"2026-06-11","DANGAHUF","MSR_RDANGAYACH1_INT","20000000","157777","0.79%","15","VS19","0DTE","SX"
"2026-06-11","DEEP5212","MSR_SANJAYG2_POS","8000000","77061","0.96%","1","VS8","0DTE","SX"
"2026-06-11","DELL15","A7_SISL_PS_FIX_2CR_INT","20000000","186893","0.93%","7","VS7","0DTE","SX"
"2026-06-11","DEVA1957","MSR_DEVAC1_INT","8000000","67885","0.85%","1","VS16","0DTE","SX"
"2026-06-11","DHIR1433","MSR_DHEER2_INT","4000000","33971","0.85%","1","VS16","0DTE","SX"
"2026-06-11","DHIRAJYS","CC_DHIRAJY_POS","8000000","113261","1.42%","7","VS4","0DTE","SX"
"2026-06-11","DHRUVSGL","MSN_DHRUV_SEHGAL_INT","10000000","63282","0.63%","1","VS8","0DTE","SX"
"2026-06-11","DIVYA934","MSP_DIVYAT_POS","16000000","123059","0.77%","1","VS6","0DTE","SX"
"2026-06-11","DPNOGS01","CC_SISL_GS_FIX_4CR_INT","40000000","376065","0.94%","7","VS4","0DTE","SX"
"2026-06-11","DWH00459","A19_VA_F","40000000","-751201.4","-1.88%","19","VS22","5DTE_1DTE","NF_SX"
"2026-06-11","DWH10008","A27_F","50000000","171496.2","0.34%","27","VS28","5DTE_0DTE","NF_SX"
"2026-06-11","DWH10011","A8_RM_PRSNL_8C","80000000","270933","0.34%","8","VS24","0DTE","SX"
"2026-06-11","DWH10014","A1_VTGBRM_INT","120000000","774495","0.65%","1","VS6","0DTE","SX"
"2026-06-11","DWIV1875","CCV_AMITD_HUF_POS","8000000","66916","0.84%","1","VS12","0DTE","SX"
"2026-06-11","DXX05","A8_MANISHT_DUB_8C","200000000","861653","0.43%","8","VS24","0DTE","SX"
"2026-06-11","FIBRETEX","MSR_GINNI2_INT","10000000","85731","0.86%","15","VS19","0DTE","SX"
"2026-06-11","FINE1A02","MSR_ASR3_INT","32000000","228087","0.71%","1","VS8","0DTE","SX"
"2026-06-11","FINE1R03","MSR_AGNANI3","20000000","-27831","-0.14%","8","VS1","0DTE","SX"
"2026-06-11","GASHUNAN","MSR_ASHUTOSH_NANDAN_GOYAL_POS","10000000","70356","0.70%","1","VS6","0DTE","SX"
"2026-06-11","GBN12J106","A1_ANAND_RATHI_2_INT","10000000","54012","0.54%","1","VS16","0DTE","SX"
"2026-06-11","GBN27A015","AR_ANAND_FIX_1CR_A7_INT","10000000","114426","1.14%","7","VS11","0DTE","SX"
"2026-06-11","GCOMFORT","MSR_GINNI11_INT","16000000","150165","0.94%","7","VS4","0DTE","SX"
"2026-06-11","GDLF1A105","AR_ANSHU_FIX_1CR_A1_INT","10000000","66706","0.67%","1","VS10","0DTE","SX"
"2026-06-11","GDLF2K107","A7_KAPIL_AR_FIX_1CR_INT","10000000","91205","0.91%","7","VS26","0DTE","SX"
"2026-06-11","GDLF2S116","A1_ANANDRATHI_INT","10000000","50115","0.50%","1","VS16","0DTE","SX"
"2026-06-11","GDLRGR101","AR_RAJEEV_FIX_1CR_A7_INT","10000000","127445","1.27%","7","VS11","0DTE","SX"
"2026-06-11","GDVU037","A1_ANANDRATHI_3_INT","10000000","32289","0.32%","1","VS16","0DTE","SX"
"2026-06-11","GI1652","A7_JUNO_INT","80000000","713191","0.89%","7","VS7","0DTE","SX"
"2026-06-11","GI1653","A15_JUNO_8CR_INT","80000000","525575","0.66%","15","VS19","0DTE","SX"
"2026-06-11","GI1654","MSR_A8_JUNO_8C","80000000","340784","0.43%","8","VS24","0DTE","SX"
"2026-06-11","GI1655","A19_JUNO","80000000","-884540","-1.11%","19","VS22","5DTE_1DTE","NF_SX"
"2026-06-11","GI651","A1_JUNO_INT","80000000","561827","0.70%","1","VS16","0DTE","SX"
"2026-06-11","GIRIROJK","MSR_NATH1_FIX_1CR_INT","10000000","76397","0.76%","7","VS7","0DTE","SX"
"2026-06-11","GIRNAAR0","MSR_GIRNAAR3_POS","16000000","195326","1.22%","1","VS3","0DTE","SX"
"2026-06-11","GKOHNP242","A19_ARSSB","40000000","-445300.75","-1.11%","19","VS22","5DTE_1DTE","NF_SX"
"2026-06-11","GKOHNS211","A1_SHANGAI_ARSSB_FIX_2CR_INT","20000000","109739","0.55%","1","VS16","0DTE","SX"
"2026-06-11","GKOPAS101","AR_SINGHAL_FIX_1CR_A1_INT","10000000","65658","0.66%","1","VS10","0DTE","SX"
"2026-06-11","GKOSLM249","AR_MADHAVI_FIX_1CR_A7_INT","10000000","117642","1.18%","7","VS11","0DTE","SX"
"2026-06-11","GOYAL079","MSR_DEEPAKGO_INT","10000000","56926","0.57%","1","VS8","0DTE","SX"
"2026-06-11","GPU50S059","AR_SANDHYA_FIX_1CR_A7_INT","10000000","120661","1.21%","7","VS11","0DTE","SX"
"2026-06-11","GSPL11","CC_A7_GSPL11_FIX_4CR_INT","40000000","392172","0.98%","7","VS4","0DTE","SX"
"2026-06-11","GSPL15","CC_A2_GSPL15_FIX_4CR_INT","40000000","306556","0.77%","15","VS2","0DTE","SX"
"2026-06-11","GSPL20","CC_A8_GSPL_20_4C","40000000","166536","0.42%","8","VS24","0DTE","SX"
"2026-06-11","GSPL23","A19_GSPL23","40000000","-410821","-1.03%","19","VS22","5DTE_1DTE","NF_SX"
"2026-06-11","GSPL6","CC_A1_GSPL6_FIX_4CR_INT","40000000","311615","0.78%","1","VS12","0DTE","SX"
"2026-06-11","GTEXFABS","MSR_GINNI8_INT","6000000","83831","1.40%","1","VS14","0DTE","SX"
"2026-06-11","HEMPRA52","MSR_HEMPRA2_INT","6000000","49240","0.82%","1","VS16","0DTE","SX"
"2026-06-11","HUFAJ001","MSP_ANKUR_JAIN_HUF_POS","6000000","94464","1.57%","1","VS8","0DTE","SX"
"2026-06-11","HUFAJIT0","MSR_AJIT2_INT","24000000","171887","0.72%","1","VS16","0DTE","SX"
"2026-06-11","HUFAMITJ","MSP_AMIT9_3C","30000000","71833","0.24%","8","VS1","0DTE","SX"
"2026-06-11","HUFASHO1","MSP_AMITP4_INT","20000000","156748","0.78%","15","VS19","0DTE","SX"
